File: server
Build ID: 6bb927709f5a4112556a3cf292ca47f2b149d7b5
Type: cpu
Time: 2026-09-24 15:18:14 EDT
Duration: 20s, Total samples = 1.72s ( 8.60%)
Showing nodes accounting for 1.72s, 100% of 1.72s total
      flat  flat%   sum%        cum   cum%
     0.70s 40.70% 40.70%      0.70s 40.70%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%      0.05s  2.91%  github.com/jackc/pgx/v5/pgconn/ctxwatch.(*ContextWatcher).Unwatch
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5/pgconn/ctxwatch.(*ContextWatcher).Watch
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgconn/ctxwatch.(*ContextWatcher).Watch.func1
         0     0%   100%      0.08s  4.65%  github.com/jackc/pgx/v5/pgconn/internal/bgreader.(*BGReader).Read
         0     0%   100%      0.47s 27.33%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).Flush
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).SendBind
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgproto3.(*Frontend).SendExecute
         0     0%   100%      0.09s  5.23%  github.com/jackc/pgx/v5/pgproto3.(*chunkReader).Next
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5/pgtype.(*Map).Encode
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgtype.(*Map).PlanEncode (inline)
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgtype.(*Map).planEncodeDepth
         0     0%   100%      0.08s  4.65%  github.com/jackc/pgx/v5/pgxpool.(*Conn).BeginTx
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Conn).Conn (inline)
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Conn).QueryRow
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Conn).Release
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Conn).connResource (inline)
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Pool).Acquire
         0     0%   100%      0.09s  5.23%  github.com/jackc/pgx/v5/pgxpool.(*Pool).Begin (inline)
         0     0%   100%      0.09s  5.23%  github.com/jackc/pgx/v5/pgxpool.(*Pool).BeginTx
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/pgxpool.(*Pool).QueryRow
         0     0%   100%      0.14s  8.14%  github.com/jackc/pgx/v5/pgxpool.(*Tx).Commit
         0     0%   100%      0.16s  9.30%  github.com/jackc/pgx/v5/pgxpool.(*Tx).Exec
         0     0%   100%      0.38s 22.09%  github.com/jackc/pgx/v5/pgxpool.(*Tx).QueryRow
         0     0%   100%      0.01s  0.58%  github.com/jackc/puddle/v2.(*Pool[go.shape.*uint8]).Acquire
         0     0%   100%      0.01s  0.58%  github.com/jackc/puddle/v2.(*Pool[go.shape.*uint8]).acquire
         0     0%   100%      0.01s  0.58%  github.com/jackc/puddle/v2.nanotime (inline)
         0     0%   100%      0.01s  0.58%  github.com/prometheus/client_golang/prometheus.(*CounterVec).GetMetricWithLabelValues (inline)
         0     0%   100%      0.01s  0.58%  github.com/prometheus/client_golang/prometheus.(*CounterVec).WithLabelValues
         0     0%   100%      0.01s  0.58%  github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0%   100%      0.01s  0.58%  github.com/prometheus/client_golang/prometheus.(*MetricVec).hashLabelValues
         0     0%   100%      0.01s  0.58%  github.com/prometheus/client_golang/prometheus.validateLabelValues
         0     0%   100%      0.02s  1.16%  go.opentelemetry.io/otel/sdk/trace.(*tracer).Start
         0     0%   100%      0.01s  0.58%  go.opentelemetry.io/otel/sdk/trace.(*tracer).newSpan
         0     0%   100%      0.01s  0.58%  go.opentelemetry.io/otel/trace.SpanContextFromContext
         0     0%   100%      0.02s  1.16%  go.opentelemetry.io/otel/trace.SpanFromContext
         0     0%   100%      1.04s 60.47%  incidentdesk/internal/app.(*App).Handler.func1
         0     0%   100%      0.74s 43.02%  incidentdesk/internal/app.(*App).callback
         0     0%   100%      0.44s 25.58%  incidentdesk/internal/app.(*App).callback.func1
         0     0%   100%      0.13s  7.56%  incidentdesk/internal/app.(*App).claim
         0     0%   100%      0.10s  5.81%  incidentdesk/internal/app.(*App).claim.func1
         0     0%   100%      0.08s  4.65%  incidentdesk/internal/app.(*App).create
         0     0%   100%      0.04s  2.33%  incidentdesk/internal/app.(*App).create.func1
         0     0%   100%      0.23s 13.37%  incidentdesk/internal/app.(*App).fence
         0     0%   100%      0.02s  1.16%  incidentdesk/internal/app.(*App).list
         0     0%   100%      0.13s  7.56%  incidentdesk/internal/app.(*App).member
         0     0%   100%      0.82s 47.67%  incidentdesk/internal/app.(*App).transaction
         0     0%   100%      0.03s  1.74%  incidentdesk/internal/app.(*App).user
